,Y,X,Beta,p-value
34252,6988 JT,5020 JT,-0.01563856627337631,0.6962411878641753
34253,6988 JT,5101 JT,0.03507579429708195,0.25292225308978245
34254,6988 JT,5108 JT,0.045412440077021145,0.2125144973094384
34255,6988 JT,5201 JT,0.04120143662561394,0.24333077754035368
34256,6988 JT,5202 JT,0.03509961291150219,0.18003309658424288
34257,6988 JT,5214 JT,-0.010355248507591905,0.7346158536996574
34258,6988 JT,5232 JT,0.024468644681754095,0.5157260960290937
34259,6988 JT,5233 JT,0.06255784401133013,0.049750890094868966
34260,6988 JT,5301 JT,0.05649456640112608,0.06745716597372232
34261,6988 JT,5332 JT,-0.0075743508820118105,0.8166764468827803
34262,6988 JT,5333 JT,-0.009360869485947313,0.7480051521457258
34263,6988 JT,5401 JT,0.0005400695272313569,0.9863093992657745
34264,6988 JT,5406 JT,0.02875349712597876,0.2750071649643978
34265,6988 JT,5411 JT,0.017219641387010667,0.5259036258365002
34266,6988 JT,5413 JT,0.010688393147612716,0.6728418272008209
34267,6988 JT,5541 JT,-0.009974885579262509,0.7238238370393508
34268,6988 JT,5631 JT,-0.008906080316811435,0.7468764259687428
34269,6988 JT,5703 JT,-0.024419341091257037,0.46757682337866224
34270,6988 JT,5706 JT,0.012002918532999899,0.6680137130726133
34271,6988 JT,5707 JT,0.010169519500810858,0.692893326952444
34272,6988 JT,5711 JT,0.016428206015191762,0.5779641364895052
34273,6988 JT,5713 JT,0.0026306446547205787,0.9300662824377044
34274,6988 JT,5714 JT,0.012358544056474425,0.6634180452068601
34275,6988 JT,5715 JT,0.01874282079731088,0.46058642045341613
34276,6988 JT,5801 JT,0.016744832293003508,0.6088196766997087
34277,6988 JT,5802 JT,0.0365811634771556,0.25775807496430236
34278,6988 JT,5803 JT,0.024523660275105476,0.39951149226689453
34279,6988 JT,5901 JT,-0.011472542512754534,0.6981844502917496
34280,6988 JT,6098 JT,-0.7172118064808549,0.01726618938136598
34281,6988 JT,6103 JT,0.038678371714911876,0.13934309740459994
34282,6988 JT,6113 JT,0.008440065992183405,0.783655714002826
34283,6988 JT,6178 JT,-0.28111824712635375,0.6492748910117363
34284,6988 JT,6301 JT,-0.021872883689836035,0.5413843974039088
34285,6988 JT,6302 JT,0.032928172161549515,0.26249592552109374
34286,6988 JT,6305 JT,-0.022923454795178985,0.4735485163640364
34287,6988 JT,6326 JT,0.03333509488155927,0.2675351476856224
34288,6988 JT,6361 JT,-0.005429018883230093,0.8628667397991427
34289,6988 JT,6366 JT,0.035691681585982286,0.253711456668036
